ID;Tipo;Placa;Marca;Modelo;Ano Fabricação;Ano Modelo;Frota;Empresa (SNE);Cidade;Lotação; Valor de Locação 
45;CAMINHÃO;POW0446;BASCULANTE ) VERM;CAMINHÃO M. BENZ ATEGO 1419 ( CAÇAMBA - BASCULANTE ) VERM-MARK;2015;2015;MARK;MARK;ITAPIPOCA;MARK - OPERACIONAL; R$ -   
46;CAMINHÃO;PNM3359;VW;CAR/CAMINHÃO/MEC.OPER - VW/13.190 (COMPACTADOR);2016;2017;MARK;MARK;ITAPAJE;; R$ 12.000,00 
47;CAMINHÃO;PMK4523;BRANCA;CAMINHÃO VW/13.190 CRM 4X2 ( COMPACTADOR 12M ) BRANCA - MARK;2016;2017;MARK;MARK;MASSAPE;COLETA DE LIXO; R$ 11.000,00 
48;CAMINHÃO;PMK4703;VW;CAMINHÃO VW/13.190 CRM 4X2 4P ( COMPACTADOR 12M );2016;2017;MARK;MARK;ITAPIPOCA;SEC DE INFRAESTRUTURA; R$ 12.000,00 
49;CAMINHÃO;PND4D35;VOLVO;CAMINHÃO VOLVO VM 270 ( CAÇAMBA - BASCULANTE ) BRANCA - MARK;2011;2011;MARK;MARK;ITAPIPOCA;MARK - OPERACIONAL; R$ -   
50;CAMINHÃO;OSH7E31;BENZ;CAMINHÃO M. BENZ 1620 - MILLENIUM;2017;2018;MARK;MILENIUM;ITAPIPOCA;; R$ -   
51;CAMINHÃO;POQ4I87;VW;CAMINHÃO VW 17.190 WORKER (OPERACIONAL) FANTASIA: MARK TERCER;2017;2018;MARK;MARK;UBAJARA;CAMINHAO DO LIXO; R$ 12.000,00 
52;MÁQUINA;CAR01;CARREGADEIRA;CARREGADEIRA CAT 938F;2018;2018;MARK;MARK;ITAPIPOCA;MARK - PATIO; R$ -   
53;MÁQUINA;CAT02;CAT;MOTONIVELADORA CAT 120 02;;;MARK;MARK;AMONTADA;; R$ -   
54;MÁQUINA;CAT03;CAT;MOTONIVELADORA CAT 12H 03;;;MARK;MARK;AMONTADA;MARK - PATIO; R$ -   
55;MÁQUINA;RET001;RETROESCAVADEIRA;RETROESCAVADEIRA;;;MARK;MARK;FORTALEZA;MARK - OPERACIONAL; R$ -   
56;MÁQUINA;RET002;RETROESCAVADEIRA;RETROESCAVADEIRA 4X4 TURBO MOD 3C;;;MARK;MARK;ITAPIPOCA;MARK - OPERACIONAL; R$ -   
57;MÁQUINA;ESC01;ESCAVADEIRA;ESCAVADEIRA JS200;2019;2020;MARK;MARK;AMONTADA;MARK - OPERACIONAL; R$ -   
58;CAMINHONETE;GKE4J87;HILUX;HILUX;2021;2021;MARK;VIA ROYALE;ITAPAJE;SEC DE INFRAESTRUTURA; R$ 8.500,00 
59;CAMINHÃO;OSM6851;VW;CAÇAMBA PRATA VW 13.190 CRM 4X2;2013;2013;MARK;MARK;FORQUILHA;SEC DE LIMPEZA PUBLICA; R$ 4.000,00 
60;CAMINHÃO;HUB2F28;VW;CAÇAMBA BRANCA VW/12.140H;1994;1994;MP;MP SERVIÇOS;GRANJA;GRANJA - INFRAESTRUTURA; R$ -   
61;MOTOCICLETA;POZ1034;HONDA;HONDA ELITE 125;2019;2019;KM - RENTAL;DINAMIC;FORTALEZA;KM ADM; R$ -   
62;CAMINHÃO;HVI2C38;BENZ;CAMINHÃO PIPA M.MENZ/L 1218;1996;1997;MP;MP SERVIÇOS;GRANJA;GRANJA - INFRAESTRUTURA; R$ -   
63;VEICULO LEVE;SBB3F29;FIAT;FIORINO ENDURANCE 1.4 2 PASSAGEIROS;2023;2024;MARK;VIA ROYALE;ITAPIPOCA;; R$ -   
64;CAMINHÃO;OCC9567;BENZ;CAMINHÃO AZUL M.BENZ/L 1620;2011;2011;MP;MP SERVIÇOS;GRANJA;GRANJA - INFRAESTRUTURA; R$ -   
65;CAMINHÃO;OFA5I66;BENZ;CAMINHÃO TAMQUE M.BENZ/ATEGO 2425;2011;2012;MP;MP SERVIÇOS;GRANJA;GRANJA - INFRAESTRUTURA; R$ -   
66;VEICULO LEVE;SBC4J09;VW;POLO TRACK MA;2023;2024;KM - RENTAL;MP SERVIÇOS;MASSAPE;GILSON; R$ 3.000,00 
67;ONIBUS;OCJ1H81;MERCEDES BENZ;MPOLO TORINO U 1318.02;2010;2011;KM - RENTAL;SETE COPAS;GRANJA;SEC DE EDUCACAO; R$ -   
68;ONIBUS;OCJ0751;MERCEDES BENZ;MPOLO TORINO U 1318.02;2010;2011;KM - RENTAL;SETE COPAS;GRANJA;SEC DE EDUCACAO; R$ -   
69;ONIBUS;OCJ2811;MERCEDES BENZ;MPOLO TORINO U 1318.02;2010;2011;KM - RENTAL;SETE COPAS;GRANJA;SEC DE EDUCACAO; R$ -   
70;ONIBUS;OCJ1081;MERCEDES BENZ;MPOLO TORINO U 1318.02;2010;2011;KM - RENTAL;SETE COPAS;GRANJA;SEC DE EDUCACAO; R$ -   
71;ONIBUS;OCI9431;MERCEDES BENZ;MPOLO TORINO U 1318.02;2010;2011;KM - RENTAL;SETE COPAS;GRANJA;SEC DE EDUCACAO; R$ -   
72;ONIBUS;OCI9H31;MERCEDES BENZ;MPOLO TORINO U 1318.02;2010;2011;KM - RENTAL;SETE COPAS;GRANJA;SEC DE EDUCACAO; R$ -   
73;ONIBUS;OCJ0691;MERCEDES BENZ;MPOLO TORINO U 1318.02;2010;2011;KM - RENTAL;SETE COPAS;GRANJA;SEC DE EDUCACAO; R$ -   
74;ONIBUS;OCJ2A71;MERCEDES BENZ;MPOLO TORINO U 1318.02;2010;2011;KM - RENTAL;SETE COPAS;GRANJA;SEC DE EDUCACAO; R$ -   
75;ONIBUS;OCJ2D51;MERCEDES BENZ;MPOLO TORINO U 1318.02;2010;2011;KM - RENTAL;SETE COPAS;GRANJA;SEC DE EDUCACAO; R$ -   
76;MÁQUINA;BOB01;BOB CAT ;BOB CAT ;;;MARK;MARK;UBAJARA;; R$ -   
77;MÁQUINA;RET003;RETROESCAVADEIRA;RETROESCAVADEIRA CASE;;;MARK;MARK;ITAPIPOCA;; R$ -   
78;VEICULO LEVE;SBO8I67;CHEVROLET ;ONIX 1.0 AT LTZ ;2023;2023;KM - RENTAL;FENIX LOCAÇÃO ;FORTALEZA ;; R$ -   
